,rk,TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
23,7,New York Knicks,66,39,27,3168,116.6,112.2,4.4,58.3,1.78,17.5,33.4,73.3,52.9,13.9,53.5,57.0,96.28,51.4,"6,349"

,rk,TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
10,20,Sacramento Kings,65,38,27,3150,117.1,116.0,1.1,65.0,2.16,20.1,28.1,74.6,50.7,13.2,56.5,59.0,100.2,49.5,"6,573"

,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
2,1,Precious Achiuwa,PF,24,NYK,34,18,27.1,3.7,7.1,0.529,0.3,1.2,0.262,3.4,5.8,0.586,0.552,1.0,1.6,0.66,3.2,4.5,7.7,1.1,0.8,1.3,1.2,2.2,8.8,achiupr01
18,13,OG Anunoby,SF,26,NYK,16,16,35.3,5.8,11.2,0.514,1.8,4.6,0.384,4.0,6.6,0.604,0.592,2.1,2.5,0.825,1.1,3.8,4.9,1.6,1.8,0.9,1.5,2.4,15.3,anunoog01
19,14,Ryan Arcidiacono,PG,29,NYK,20,0,2.3,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.4,0.4,0.2,0.1,0.0,0.1,0.3,0.0,arcidry01
40,30,RJ Barrett,SG,23,NYK,26,26,29.5,6.3,14.9,0.423,1.7,5.0,0.331,4.7,9.9,0.469,0.478,4.0,4.8,0.831,0.7,3.5,4.3,2.4,0.5,0.3,1.8,1.7,18.2,barrerj01
,rk,TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
23,7,New York Knicks,66,39,27,3168,116.6,112.2,4.4,58.3,1.78,17.5,33.4,73.3,52.9,13.9,53.5,57.0,96.28,51.4,"6,349"

,rk,TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
10,20,Sacramento Kings,65,38,27,3150,117.1,116.0,1.1,65.0,2.16,20.1,28.1,74.6,50.7,13.2,56.5,59.0,100.2,49.5,"6,573"

,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
2,1,Precious Achiuwa,PF,24,NYK,34,18,27.1,3.7,7.1,0.529,0.3,1.2,0.262,3.4,5.8,0.586,0.552,1.0,1.6,0.66,3.2,4.5,7.7,1.1,0.8,1.3,1.2,2.2,8.8,achiupr01
18,13,OG Anunoby,SF,26,NYK,16,16,35.3,5.8,11.2,0.514,1.8,4.6,0.384,4.0,6.6,0.604,0.592,2.1,2.5,0.825,1.1,3.8,4.9,1.6,1.8,0.9,1.5,2.4,15.3,anunoog01
19,14,Ryan Arcidiacono,PG,29,NYK,20,0,2.3,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.4,0.4,0.2,0.1,0.0,0.1,0.3,0.0,arcidry01
40,30,RJ Barrett,SG,23,NYK,26,26,29.5,6.3,14.9,0.423,1.7,5.0,0.331,4.7,9.9,0.469,0.478,4.0,4.8,0.831,0.7,3.5,4.3,2.4,0.5,0.3,1.8,1.7,18.2,barrerj01
